,Año,Trimestre,Provincia,hasta 512kb,512Kb a 1Mb,1Mb a 6Mb,6Mb a 10Mb,10Mb a 20Mb,20Mb a 30Mb,mas de 30Mb,Otros,Total
336,2018,3,Buenos Aires,9910,80459,1445733,190805,63609,897964,237248,120464,3609754
337,2018,3,Capital Federal,730,8493,287919,147253,370677,41502,165055,0,1394490
338,2018,3,Catamarca,340,1994,18475,6358,532,340,7,2151,34373
339,2018,3,Chaco,700,3503,38729,24916,20335,11085,5667,1035,105340
340,2018,3,Chubut,670,3951,91096,6162,5310,6230,164,0,102594
341,2018,3,Córdoba,810,24767,224471,96372,221984,109333,39854,649,723352
342,2018,3,Corrientes,110,6754,38364,24953,16601,8357,4419,0,99459
343,2018,3,Entre Ríos,180,9048,96095,45651,31353,15111,6786,0,204062
344,2018,3,Formosa,111,3365,22624,5259,9336,1729,1434,0,44857
345,2018,3,Jujuy,3450,302,29048,7756,4066,390,623,0,44897
